Analysis,Category,Metric,Conformer_Mean,Transformer_Mean,Difference_C_minus_T,CI_2.5,CI_97.5,Welch_t,Welch_p,N_Conformer,N_Transformer
All corpora,Acoustic,Peak,0.21546034501763667,0.21163109340958605,0.0038292516080506156,-0.06280016202082682,0.0961652926506251,0.0848333349378986,0.9346427453889448,7,17
All corpora,Acoustic,Center_of_Mass,0.37760045670670433,0.4031794793033506,-0.02557902259664624,-0.062481818588123385,0.023013288194555333,-1.0544730216012546,0.3257006465754847,7,17
All corpora,Gender,Peak,0.15625,0.2820669934640523,-0.12581699346405228,-0.19809173669467778,-0.04571990254435106,-3.074567060008378,0.00823065099204114,7,17
All corpora,Gender,Center_of_Mass,0.28703078268692417,0.36693623779737045,-0.07990545511044628,-0.13301083465814525,-0.015355282522220754,-2.5099688174989594,0.035273652902812216,7,17
All corpora,Accent,Peak,0.347800925925926,0.5725081699346406,-0.2247072440087146,-0.3222168728602552,-0.11432948179271704,-4.038381281802612,0.0006414377952279113,7,17
All corpora,Accent,Center_of_Mass,0.381687504542711,0.5474103724227818,-0.1657228678800708,-0.22771116924095422,-0.0987950330343159,-4.688140362616523,0.0005131870463187553,7,17
All corpora,Phoneme,Peak,0.20577050264550265,0.49172794117647056,-0.2859574385309679,-0.41925004376750696,-0.14514508928571435,-3.901018174977769,0.0007676227928748402,7,17
All corpora,Phoneme,Center_of_Mass,0.3688499339609939,0.5200780529847798,-0.1512281190237859,-0.23184969427129193,-0.07302064359652782,-3.4714391141613405,0.007895972355575005,7,17
All corpora,Duration,Peak,0.6957671957671957,0.5273692810457516,0.16839791472144405,0.02792184582166201,0.30164128151260516,2.2809539331341813,0.035310095153062465,7,17
All corpora,Duration,Center_of_Mass,0.5786803086195558,0.5148820248271463,0.06379828379240948,0.03502309003539341,0.0951235860459909,3.874655496549217,0.005562040089860694,7,17
