Analysis,Category,Metric,Conformer_Mean,Transformer_Mean,Difference_C_minus_T,CI_2.5,CI_97.5,Welch_t,Welch_p,N_Conformer,N_Transformer
Leave Cambridge out,Acoustic,Peak,0.19121610449735452,0.1733609068627451,0.01785519763460941,-0.05235649728641456,0.11952659362356052,0.35840175512927674,0.7305793937730884,7,17
Leave Cambridge out,Acoustic,Center_of_Mass,0.3723429176492414,0.39576720052018166,-0.023424282870940283,-0.062181904754563345,0.030332086351082675,-0.892746843735446,0.4023313413150109,7,17
Leave Cambridge out,Gender,Peak,0.16388888888888892,0.28823529411764703,-0.12434640522875812,-0.2036141748366013,-0.039722805788982296,-2.8448990384077146,0.011277709800723233,7,17
Leave Cambridge out,Gender,Center_of_Mass,0.2936666277138165,0.3649120150661409,-0.07124538735232439,-0.12471139604630167,-0.0027758460160011277,-2.0961979992824697,0.07142703544533377,7,17
Leave Cambridge out,Accent,Peak,0.3367063492063492,0.582843137254902,-0.24613678804855282,-0.3488454131652659,-0.12564994747899158,-4.080306707288668,0.0007849360932263289,7,17
Leave Cambridge out,Accent,Center_of_Mass,0.35571274443365253,0.5528316975866242,-0.19711895315297168,-0.261347323028405,-0.1252333816126497,-5.32759481885626,0.0001221532004780973,7,17
Leave Cambridge out,Phoneme,Peak,0.16865079365079363,0.4870098039215686,-0.31835901027077496,-0.45757134103641445,-0.17738576680672283,-4.270981439380153,0.0003112952183290418,7,17
Leave Cambridge out,Phoneme,Center_of_Mass,0.35625844921474625,0.51288507107935,-0.15662662186460374,-0.254930112501678,-0.0668395316367059,-3.0082714543092672,0.01868959503572146,7,17
Leave Cambridge out,Duration,Peak,0.7034722222222223,0.48370098039215687,0.2197712418300654,0.07288617530345468,0.35379347572362263,2.945211012095378,0.007994374026791493,7,17
Leave Cambridge out,Duration,Center_of_Mass,0.5893632040248251,0.5130283527560178,0.07633485126880735,0.043398112513814105,0.11053489523687128,4.158805575755469,0.003627029264088592,7,17
