Model,Architecture,Category,Peak,Center_of_Mass
Phi-4-multimodal-instruct,Transformer,Accent,0.265625,0.4535608472066939
Phi-4-multimodal-instruct,Transformer,Acoustic,0.3318142361111111,0.4538562913177802
Phi-4-multimodal-instruct,Transformer,Duration,0.109375,0.48732182742207414
Phi-4-multimodal-instruct,Transformer,Gender,0.28125,0.4850939593274147
Phi-4-multimodal-instruct,Transformer,Phoneme,0.8958333333333334,0.5777371104767678
canary-1b,Conformer,Accent,0.34722222222222227,0.35779825284554767
canary-1b,Conformer,Acoustic,0.15335648148148148,0.3400837955560015
canary-1b,Conformer,Duration,0.6111111111111112,0.5436249770065003
canary-1b,Conformer,Gender,0.13888888888888887,0.2394886544237156
canary-1b,Conformer,Phoneme,0.2152777777777778,0.4546179757182461
canary-1b-flash,Conformer,Accent,0.2604166666666667,0.3096183889477057
canary-1b-flash,Conformer,Acoustic,0.14561631944444445,0.34788632721238305
canary-1b-flash,Conformer,Duration,0.8489583333333334,0.5686717750294076
canary-1b-flash,Conformer,Gender,0.08854166666666667,0.21565158326129266
canary-1b-flash,Conformer,Phoneme,0.13020833333333334,0.3873207798173193
canary-qwen-2.5b,Conformer,Accent,0.2552083333333333,0.3447076633759268
canary-qwen-2.5b,Conformer,Acoustic,0.1506076388888889,0.3606199537264782
canary-qwen-2.5b,Conformer,Duration,0.4635416666666667,0.5383099510962218
canary-qwen-2.5b,Conformer,Gender,0.09895833333333333,0.270004606950401
canary-qwen-2.5b,Conformer,Phoneme,0.3125,0.5004029699110201
granite-speech-3.3-2b,Conformer,Accent,0.375,0.5096581565037074
granite-speech-3.3-2b,Conformer,Acoustic,0.4661458333333333,0.5080519291818417
granite-speech-3.3-2b,Conformer,Duration,0.8125,0.543082935523573
granite-speech-3.3-2b,Conformer,Gender,0.3229166666666667,0.4412125429915997
granite-speech-3.3-2b,Conformer,Phoneme,0.22916666666666666,0.21282125202451355
hubert-large-ls960-ft,Transformer,Accent,0.27777777777777773,0.3927108887259646
hubert-large-ls960-ft,Transformer,Acoustic,0.13975694444444445,0.3337604297594434
hubert-large-ls960-ft,Transformer,Duration,0.6805555555555555,0.518387403970768
hubert-large-ls960-ft,Transformer,Gender,0.18055555555555555,0.28572393031478577
hubert-large-ls960-ft,Transformer,Phoneme,0.0,0.3926581064701698
hubert-xlarge-ls960-ft,Transformer,Accent,0.2708333333333333,0.39802595013947223
hubert-xlarge-ls960-ft,Transformer,Acoustic,0.09129050925925926,0.3489165073070439
hubert-xlarge-ls960-ft,Transformer,Duration,0.5381944444444444,0.4998882992830656
hubert-xlarge-ls960-ft,Transformer,Gender,0.07291666666666667,0.321396799768947
hubert-xlarge-ls960-ft,Transformer,Phoneme,0.15625,0.39686640594535455
parakeet-tdt-0.6b-v2,Conformer,Accent,0.34027777777777773,0.3669026564431115
parakeet-tdt-0.6b-v2,Conformer,Acoustic,0.19444444444444442,0.36268024535258797
parakeet-tdt-0.6b-v2,Conformer,Duration,0.6111111111111112,0.5916360305086643
parakeet-tdt-0.6b-v2,Conformer,Gender,0.16666666666666666,0.2520066268632129
parakeet-tdt-0.6b-v2,Conformer,Phoneme,0.34027777777777773,0.29901760547289946
speechbrain-loq,Conformer,Accent,0.5370370370370371,0.467491377362051
speechbrain-loq,Conformer,Acoustic,0.2056327160493827,0.3950301332518969
speechbrain-loq,Conformer,Duration,0.7592592592592592,0.6282896088441235
speechbrain-loq,Conformer,Gender,0.08333333333333333,0.3348530645427406
speechbrain-loq,Conformer,Phoneme,0.1574074074074074,0.4441393649797957
w2v2-conformer,Conformer,Accent,0.3194444444444445,0.31563603632092724
w2v2-conformer,Conformer,Acoustic,0.19241898148148148,0.32885081266574095
w2v2-conformer,Conformer,Duration,0.7638888888888888,0.6371468823283997
w2v2-conformer,Conformer,Gender,0.19444444444444442,0.2559983997755068
w2v2-conformer,Conformer,Phoneme,0.05555555555555555,0.28362958980316294
wav2vec2-large-960h-lv60,Transformer,Accent,0.27777777777777773,0.3968686200892482
wav2vec2-large-960h-lv60,Transformer,Acoustic,0.13744212962962962,0.3727785960654457
wav2vec2-large-960h-lv60,Transformer,Duration,0.4236111111111111,0.4833262614764586
wav2vec2-large-960h-lv60,Transformer,Gender,0.09027777777777778,0.32287577138597384
wav2vec2-large-960h-lv60,Transformer,Phoneme,0.013888888888888888,0.44177504514208477
wavlm-large,Transformer,Accent,0.6180555555555555,0.5353646669876214
wavlm-large,Transformer,Acoustic,0.18576388888888887,0.4133165870128557
wavlm-large,Transformer,Duration,0.6666666666666666,0.5837700586041498
wavlm-large,Transformer,Gender,0.11805555555555554,0.36462820952810465
wavlm-large,Transformer,Phoneme,0.5,0.4943917952005002
whisper-base,Transformer,Accent,0.7222222222222222,0.5848652002550752
whisper-base,Transformer,Acoustic,0.3055555555555555,0.42904007798013577
whisper-base,Transformer,Duration,0.47222222222222227,0.5232337837853703
whisper-base,Transformer,Gender,0.3333333333333333,0.377283008367901
whisper-base,Transformer,Phoneme,0.47222222222222227,0.5435380852497996
whisper-base.en,Transformer,Accent,0.6666666666666666,0.6028892423530055
whisper-base.en,Transformer,Acoustic,0.25810185185185186,0.4161343315603936
whisper-base.en,Transformer,Duration,0.47222222222222227,0.5050139306646523
whisper-base.en,Transformer,Gender,0.27777777777777773,0.3606563576851081
whisper-base.en,Transformer,Phoneme,0.7777777777777778,0.6097176454401436
whisper-large,Transformer,Accent,0.6979166666666666,0.6229007798195896
whisper-large,Transformer,Acoustic,0.21744791666666666,0.4028733420740822
whisper-large,Transformer,Duration,0.5520833333333334,0.5136132655537384
whisper-large,Transformer,Gender,0.296875,0.3299373761404702
whisper-large,Transformer,Phoneme,0.24479166666666666,0.4988266477354543
whisper-large-v2,Transformer,Accent,0.6666666666666666,0.6073432833963822
whisper-large-v2,Transformer,Acoustic,0.20225694444444442,0.42390484690513225
whisper-large-v2,Transformer,Duration,0.9895833333333334,0.5085397134473357
whisper-large-v2,Transformer,Gender,0.328125,0.37375698176239364
whisper-large-v2,Transformer,Phoneme,0.796875,0.5612384206656461
whisper-large-v3,Transformer,Accent,0.7083333333333334,0.5935405349828826
whisper-large-v3,Transformer,Acoustic,0.20182291666666666,0.41936961078144286
whisper-large-v3,Transformer,Duration,1.0,0.5142796482851009
whisper-large-v3,Transformer,Gender,0.40625,0.3295046331176051
whisper-large-v3,Transformer,Phoneme,0.6041666666666666,0.5314968573504487
whisper-large-v3-turbo,Transformer,Accent,0.6510416666666666,0.5669098668934541
whisper-large-v3-turbo,Transformer,Acoustic,0.20789930555555555,0.41959175079367106
whisper-large-v3-turbo,Transformer,Duration,0.3802083333333333,0.5084465214649107
whisper-large-v3-turbo,Transformer,Gender,0.3958333333333333,0.32909404817221727
whisper-large-v3-turbo,Transformer,Phoneme,0.4947916666666667,0.44050995193784265
whisper-medium,Transformer,Accent,0.6180555555555556,0.6060433480823955
whisper-medium,Transformer,Acoustic,0.171875,0.3910027704947873
whisper-medium,Transformer,Duration,0.46527777777777773,0.5182638496811786
whisper-medium,Transformer,Gender,0.2916666666666667,0.3237258733739421
whisper-medium,Transformer,Phoneme,0.4166666666666667,0.5174989351526501
whisper-medium.en,Transformer,Accent,0.75,0.6190779062782779
whisper-medium.en,Transformer,Acoustic,0.23755787037037038,0.4327539461841203
whisper-medium.en,Transformer,Duration,0.4930555555555556,0.5186072774638263
whisper-medium.en,Transformer,Gender,0.40277777777777773,0.4083547460914821
whisper-medium.en,Transformer,Phoneme,0.6111111111111112,0.5351447254205352
whisper-small,Transformer,Accent,0.6388888888888888,0.6034839638483118
whisper-small,Transformer,Acoustic,0.22511574074074073,0.3981418683070603
whisper-small,Transformer,Duration,0.40277777777777773,0.5233264272655654
whisper-small,Transformer,Gender,0.3055555555555556,0.3641595392120647
whisper-small,Transformer,Phoneme,0.5416666666666666,0.5581286846491557
whisper-small.en,Transformer,Accent,0.6527777777777778,0.5399121149787227
whisper-small.en,Transformer,Acoustic,0.21354166666666666,0.40280736055079824
whisper-small.en,Transformer,Duration,0.4861111111111111,0.5240867532648724
whisper-small.en,Transformer,Gender,0.3055555555555556,0.3839327655778481
whisper-small.en,Transformer,Phoneme,0.625,0.5434137503619231
whisper-tiny,Transformer,Accent,0.6666666666666666,0.5749644023131527
whisper-tiny,Transformer,Acoustic,0.20833333333333334,0.39143543078217297
whisper-tiny,Transformer,Duration,0.4583333333333333,0.5144182465931703
whisper-tiny,Transformer,Gender,0.375,0.4403247286291454
whisper-tiny,Transformer,Phoneme,0.6666666666666666,0.6616873100411997
whisper-tiny.en,Transformer,Accent,0.5833333333333334,0.6075147148370398
whisper-tiny.en,Transformer,Acoustic,0.2621527777777778,0.40436740028059437
whisper-tiny.en,Transformer,Duration,0.375,0.5084711538352491
